uid,name,pos,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970
DeveJa00,James Develin,TE,,,,0.3,36.9,6.8,3.3,,7.8,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrimXa00,Xavier Grimble,TE,,,,0.8,9.6,11.7,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HogaKr00,Krishawn Hogan,WR,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NixxRo01,Roosevelt Nix,RB,,,,1.4,6.2,13.6,1.5,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BortBl00,Blake Bortles,QB,,,,-0.8,173.2,249.7,270.6,316.1,168.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EnunQu00,Quincy Enunwa,WR,,,,-1.9,67.9,,139.9,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WalkMi00,Michael Walker,WR,,,,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LuckAn00,Andrew Luck,QB,,,,,327.4,,307.7,130.8,351.7,292.6,276.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CrowIs00,Isaiah Crowell,RB,,,,,130.2,129.5,185.1,128.3,117.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MartDo00,Doug Martin,RB,,,,,110.9,71.5,78.5,215.8,74.3,62.2,287.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NelsJo00,Jordy Nelson,WR,,,,,125.2,110.7,256.2,,278.9,221.9,143,250.3,86.7,55,65.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BaldDo00,Doug Baldwin,WR,,,,,116.8,185.8,206.6,229.9,134.3,133.4,69.1,128.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlouLe00,LeGarrette Blount,RB,,,,,81.5,103.6,229.4,119.6,93.1,120,27.8,124.4,134.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueAl00,Alfred Blue,RB,,,,,87.3,41.1,56,104.2,89.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OsweBr00,Brock Osweiler,QB,,,,,68,67.9,168.5,116.8,6.1,4,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McGuEl00,Elijah McGuire,RB,,,,,76.4,67.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoctJo00,Josh Doctson,WR,,,,,87.2,102.3,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IvorCh00,Chris Ivory,RB,,,,,71.5,74.2,84.5,187.7,143.4,103.3,36.2,43.4,99.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TaylTa00,Taywan Taylor,WR,,,,,69.1,41.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DixoKe00,Kenneth Dixon,RB,,,,,51.4,,87.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GateAn00,Antonio Gates,TE,,,,,61.3,64.6,121.3,121,188.6,145.7,120.3,151.8,163.2,203.2,146.4,189.9,181.9,214.6,214.9,60.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BibbKa00,Kapri Bibbs,RB,,,,,53.8,33.7,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RodgJa00,Jacquizz Rodgers,RB,,,,,64,42.3,84.3,5.6,65.5,115.3,114.9,59.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BenjKe00,Kelvin Benjamin,WR,,,,,56.5,111.2,165.6,,189.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KearJe01,Jermaine Kearse,WR,,,,,61.6,143.5,77.5,123,80.9,67.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KessCo00,Cody Kessler,QB,,,,,38.7,2.9,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PryoTe00,Terrelle Pryor,QB,,,,,45.1,40,174.9,4.6,,143.5,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GarcPi00,Pierre Garcon,WR,,,,,46.6,70,161.6,149.7,127.2,221,116.2,164.5,148.5,125,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DickEd00,Ed Dickson,TE,,,,,39.2,64.7,24.4,38.6,22.5,45.8,33,109.8,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SmitTo02,Torrey Smith,WR,,,,,41.5,72.7,54.7,108.8,167.2,171.3,158.9,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HarrMa05,Maurice Harris,WR,,,,,45.4,14.2,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElliBr00,Bruce Ellington,WR,,,,,44.1,61.2,,20.5,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MurpMa03,Marcus Murphy,RB,,,,,33.1,5.8,0.8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RobeMi01,Michael Roberts,TE,,,,,32.5,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BryaMa00,Martavis Bryant,WR,,,,,36.4,107.5,,145.2,117.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwooEr00,Erik Swoope,TE,,,,,30.7,,43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaFeBr00,Brandon LaFell,WR,,,,,31.5,98.8,154,70.9,173.6,118.7,117.2,97.3,77.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SmitRo06,Rod Smith,RB,,,,,29.2,82.9,0.9,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WillCh05,Chad Williams,WR,,,,,32.5,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CeleGa00,Garrett Celek,TE,,,,,23.5,68.1,65.5,46.1,6.3,4.8,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MarsBr00,Brandon Marshall,WR,,,,,25.1,24.4,126.3,284.7,148.6,255.5,275.6,197.2,160.7,226.4,208.1,229.2,54.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FloyMi00,Michael Floyd,WR,,,,,23,12.8,97.3,146.9,141.8,166.6,88.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CarrLe00,Leonte Carroo,WR,,,,,17.8,10.4,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeggJo00,Jordan Leggett,TE,,,,,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThomDe04,Deonte Thompson,WR,,,,,24.6,86,45.9,9.1,,14.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MereCa00,Cameron Meredith,WR,,,,,19.9,,146.5,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MizzTa00,Taquan Mizzell,RB,,,,,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaulLo00,Logan Paulsen,TE,,,,,19.6,,3,,18.3,54.7,49.3,19.3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SefeAu00,Austin Seferian-Jenkins,TE,,,,,20.5,76.7,27.9,68.3,42.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArtiCa00,Cameron Artis-Payne,RB,,,,,15.9,16.2,28,32.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JoneAn01,Andy Jones,WR,,,,,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BradSa00,Sam Bradford,QB,,,,,12.7,27,221.4,194.9,,118.6,230.5,89.2,190.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ButlBr00,Brice Butler,WR,,,,,15,57.2,47.9,31.8,50.5,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RidlSt00,Stevan Ridley,RB,,,,,13.3,16.8,0.7,10.8,50,122.5,202.4,52.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DerbA.00,A.J. Derby,TE,,,,,12.3,44.9,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GranCo00,Corey Grant,RB,,,,,15.2,40.4,33.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FordKe00,Keith Ford,RB,,,,,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaulNi00,Niles Paul,WR,,,,,14.5,16.3,3.7,,74.2,7.1,25.1,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RogeEl00,Eli Rogers,WR,,,,,15.5,27.9,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WestCh01,Charcandrick West,RB,,,,,10.6,59.7,80.1,122.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ColeCo00,Corey Coleman,WR,,,,,10.1,54,76.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LengMa00,Matt Lengel,TE,,,,,9.2,,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AndeDe00,Derek Anderson,QB,,,,,6.5,0.5,16.5,1.2,50.4,,2.3,-0.2,91.1,34.3,90.1,252.5,38.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GresJe00,Jermaine Gresham,TE,,,,,11.9,60.7,69.6,37.3,107,86.8,133.7,121.6,97.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewsDe00,Detrez Newsome,RB,,,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrinDa00,David Grinnage,TE,,,,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HewiRy00,Ryan Hewitt,RB,,,,,6.6,3.2,2.3,13.9,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WillDe06,Derrick Willies,WR,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AikeKa00,Kamar Aiken,WR,,,,,8.3,20.8,53.3,159.9,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GathRi00,Rico Gathers,TE,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GibsSh00,Shelton Gibson,WR,,,,,5.3,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KizeDe00,DeShone Kizer,QB,,,,,5.4,175.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SterNe00,Neal Sterling,WR,,,,,7.7,11.2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThomRo05,Roc Thomas,RB,,,,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BohaTo00,Tommy Bohanon,RB,,,,,7.1,25.8,,7.8,4.3,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DaviJa07,Jawill Davis,WR,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GreeRa00,Rashad Greene,WR,,,,,7,,3.7,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaddTr01,Tre Madden,RB,,,,,4.8,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MarsBy01,Byron Marshall,RB,,,,,5.9,9.8,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MorgDa01,David Morgan,TE,,,,,6.1,20.5,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PhilJo00,John Phillips,TE,,,,,5.3,,18.2,17.9,6.6,5,15.5,23.6,,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TollJa00,Jalen Tolliver,WR,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WillDa011,David Williams,RB,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlleDw00,Dwayne Allen,TE,,,,,4.2,19.6,96.1,25,102,8.5,93.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CunnBe01,Benny Cunningham,RB,,,,,3.4,46.9,27.2,52,102.3,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GillMi00,Mike Gillislee,RB,,,,,3.7,68.3,121.2,48.6,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HillJe01,Jeremy Hill,RB,,,,,3.6,15.2,165.8,162.8,197.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LangJe00,Jeremy Langford,RB,,,,,2.5,,63.7,136.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ParkBr00,Brian Parker,TE,,,,,5.8,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PeakCh00,Charone Peake,WR,,,,,3.5,0.8,34.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WilsSh01,Shaun Wilson,RB,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CadeTr00,Travaris Cadet,RB,,,,,2.7,29.5,74,36.7,53.8,7.5,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CassMa00,Matt Cassel,QB,,,,,1.7,2.5,15.7,66.8,22.8,108,78.3,96.5,229.1,161.9,244.7,6.7,-0.3,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CharOr00,Orson Charles,TE,,,,,3.8,6.3,,,,1.3,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ColeDe00,Derrick Coleman,RB,,,,,3,3.8,,3.7,9.9,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DaviJu00,Justin Davis,RB,,,,,1.9,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FlueDa00,David Fluellen,RB,,,,,1.6,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HuntJu00,Justin Hunter,WR,,,,,3.6,10.3,47.9,43.4,81.8,68.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JackDa01,Darius Jackson,RB,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MattRi00,Rishard Matthews,WR,,,,,4.9,129.7,179,112.1,31.8,77.3,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuicBr00,Brian Quick,WR,,,,,3.3,10.6,94.9,15.2,68,51.2,33.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StewJo00,Jonathan Stewart,RB,,,,,1.7,113.2,142.4,154.8,133.5,25.9,69.8,170.9,101.3,198.2,150.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WildBr01,Brandon Wilds,RB,,,,,1.5,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WillNi02,Nick Williams,WR,,,,,2.7,4.5,8.4,36.4,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WillTe01,Terrance Williams,WR,,,,,2.8,84.8,103.4,128,128.6,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BoldVi00,Victor Bolden,WR,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CharJa00,Jamaal Charles,RB,,,,,2.4,56,12.4,90.6,230.4,343,222,15.7,260,211.7,78.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoatSa00,Sammie Coates,WR,,,,,1.7,10,67.4,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CrosAl00,Alan Cross,TE,,,,,1.9,8.3,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FlanMa00,Matt Flanagan,TE,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HardJu01,Justin Hardee,WR,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HatcKe00,Keon Hatcher,WR,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KellRo00,Robert Kelley,RB,,,,,0.8,41.2,126.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KerlJe00,Jeremy Kerley,WR,,,,,1.7,34.7,114.7,35.2,74.5,92.9,125.2,54.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KidsDa00,Darvin Kidsy,WR,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeexKh00,Khari Lee,TE,,,,,1,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MichCh00,Christine Michael,RB,,,,,0.9,,126,27.4,19.2,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OlawJa00,Jamize Olawale,RB,,,,,2.3,16.6,51.4,29.9,16.3,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PhilCa01,Cam Phillips,WR,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SimsDi00,Dion Sims,TE,,,,,1.9,31.5,62.6,25.7,52.4,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VallHa00,Hakeem Valles,TE,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WebbJo00,Joe Webb,WR,,,,,2.3,4.8,0.8,-0.1,2.1,5.8,-0.1,49.8,37.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WhitTi00,Tim White,WR,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChesJe00,Jehu Chesson,WR,,,,,0.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HendDe01,De'Angelo Henderson,RB,,,,,-0.1,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeywDa00,Darrius Heyward-Bey,WR,,,,,0.7,14.9,38.4,53.9,2.8,56,112.7,151.5,58.4,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KellCh00,Chad Kelly,QB,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SancMa00,Mark Sanchez,QB,,,,,0.3,,-0.5,32.8,139.4,,118.1,237.3,202.1,132.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeedBr00,Brandon Weeden,QB,,,,,-0.1,,,66.4,20,89.6,165.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MoorJM00,J'Mon Moore,WR,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StreRo00,Rod Streater,WR,,,,,-1.1,,40.1,1.3,18.9,142.5,95.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TurbRo00,Robert Turbin,RB,,,,,-0.2,21.4,95.3,31.7,67.6,34.4,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClayKa00,Kaelin Clay,,,,,,-2,18.2,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JoneJJ00,JJ Jones,WR,,,,,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaulKy00,Kyle Lauletta,QB,,,,,-2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McCaRi00,Riley McCarron,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MurrDe00,DeMarco Murray,RB,,,,,,152,267.3,162.4,322.6,231.6,128.9,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CutlJa00,Jay Cutler,QB,,,,,,157.8,46.8,226.5,255.6,168.6,184.6,136.3,210.2,227.9,277,210.4,63.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarkOr00,Orleans Darkwa,RB,,,,,,128.2,25.3,25.9,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PalmCa00,Carson Palmer,QB,,,,,,102.3,243.1,309.2,103.5,217.3,224.3,136.1,223.8,211.1,37,228.2,237.1,265.5,158.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WallMi00,Mike Wallace,WR,,,,,,125.2,166.8,79.4,179.3,162.8,162.3,207,219.6,133.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FortMa00,Matt Forte,RB,,,,,,101.9,168.6,192.7,295.6,300.3,199.4,194.7,239.1,188.5,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WrigKe01,Kendall Wright,WR,,,,,,96.9,75.6,78.5,139.4,166.9,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeckEr00,Eric Decker,WR,,,,,,89.3,35.9,212.7,163.2,236.3,226.9,135.3,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaclJe00,Jeremy Maclin,WR,,,,,,82,87.5,199.7,234.3,,160.2,145.5,193,128.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WillKe05,Kerwynn Williams,RB,,,,,,62.9,28.8,20.8,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThomJu00,Julius Thomas,TE,,,,,,77.3,67.1,98.5,142.4,183.3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LewiRo03,Roger Lewis,WR,,,,,,71.6,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SavaTo00,Tom Savage,QB,,,,,,50.7,17.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ColeBr00,Brandon Coleman,WR,,,,,,61.9,59.1,72.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StanDr00,Drew Stanton,QB,,,,,,50.5,9.4,-1.1,94.7,,,,56.5,5.7,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElliAn00,Andre Ellington,RB,,,,,,67.9,24.1,67.2,154.5,145.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FleeCo00,Coby Fleener,TE,,,,,,52.5,112.3,96.1,150.9,114.8,53.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KingTa00,Tavarres King,WR,,,,,,51.3,6,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VereSh00,Shane Vereen,RB,,,,,,61.7,32.7,128.9,139.8,111,66,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BritKe00,Kenny Britt,WR,,,,,,47.6,162.2,104.1,118.2,15.1,105.4,53.4,152.5,107.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SimsCh00,Charles Sims,RB,,,,,,55.9,55.9,154.5,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TolbMi00,Mike Tolbert,RB,,,,,,43.5,29.6,74,23.1,110,100.6,177.3,169.6,66.5,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LouiRi00,Ricardo Louis,WR,,,,,,49.2,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MillZa02,Zach Miller,TE,,,,,,45.6,96.1,90.9,,,,12.2,38.5,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CampMi02,Michael Campanaro,WR,,,,,,43,7.2,13.7,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HogaKe00,Kevin Hogan,QB,,,,,,33.8,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YateT.00,T.J. Yates,QB,,,,,,34,,22.8,0.6,0.5,3.4,43.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
