uid,name,pos,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970
McLaTe00,Terry McLaurin,WR,190.5,175,180.3,162.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AiyuBr00,Brandon Aiyuk,WR,188.8,142.3,154.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WalkKe00,Kenneth Walker III,RB,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EvanMi00,Mike Evans,WR,186.9,225.5,213.6,199.2,247.4,167.6,256.1,173.6,211.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiggTe00,Tee Higgins,WR,183.9,182.1,161.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AndrMa00,Mark Andrews,TE,154,247.6,141.1,175.2,90.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SmitGe00,Geno Smith,QB,303.9,54.3,1.1,,-1.5,9.7,7.9,20,150.8,194.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EtieTr00,Travis Etienne,RB,187.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElliEz00,Ezekiel Elliott,RB,177.3,228.6,197.7,284.7,290.6,190.2,309.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FielJu00,Justin Fields,QB,296,126.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LawrTr00,Trevor Lawrence,QB,295.6,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JeudJe00,Jerry Jeudy,WR,170.7,66,131.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MetcDK00,D.K. Metcalf,WR,181.8,206.8,229.8,158.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MoorD.00,D.J. Moore,WR,167.6,191,178.5,187,129.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CousKi00,Kirk Cousins,QB,291.6,300.3,306.2,244.4,282.6,277.6,300.3,293.4,88.4,33.6,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EngrEv00,Evan Engram,TE,140.4,79.5,109.5,87.4,103.8,141.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WilsGa00,Garrett Wilson,WR,174.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JoneDa05,Daniel Jones,QB,289,167,180,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KamaAl00,Alvin Kamara,RB,183.2,211.2,336.3,208,313.7,279.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ConnJa00,James Conner,RB,177.2,239.2,147.1,128.5,252.5,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FourLe00,Leonard Fournette,RB,189.6,221.1,114,221.4,109.4,212.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KmetCo00,Cole Kmet,TE,122.3,91.2,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KuppCo00,Cooper Kupp,WR,163.9,367,162.7,223.5,115.1,145.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OlavCh00,Chris Olave,WR,162.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoffJa00,Jared Goff,QB,283.8,194.5,240,247.5,310.3,255.3,53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DaviGa01,Gabriel Davis,WR,147.6,108.4,119.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WatsCh00,Christian Watson,WR,143.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JohnJu02,Juwan Johnson,TE,113.8,46.4,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HerbJu00,Justin Herbert,QB,280.3,380.8,332.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GodwCh00,Chris Godwin,WR,170.8,193.4,158.5,233.1,155.7,75.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MontDa01,David Montgomery,RB,160.7,174,237.8,157.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AllgTy00,Tyler Allgeier,RB,151.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PittMi01,Michael Pittman Jr.,WR,167,194.6,78.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwifDA00,D'Andre Swift,RB,167.1,177.9,166.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KnoxDa00,Dawson Knox,TE,111.7,139.6,54.8,65.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JoneZa00,Zay Jones,WR,157.1,82.4,29.6,35.4,137.2,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoedDa00,Dallas Goedert,TE,113.7,137,93.4,115.7,73.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SchuDa00,Dalton Schultz,TE,114.2,169.8,115,1.1,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LazaAl00,Allen Lazard,WR,144.8,122.5,81.3,85.3,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FreiPa00,Pat Freiermuth,TE,116.7,121.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McKiJe00,Jerick McKinnon,RB,168.3,29.4,109.7,,,152.6,126.9,72.9,80.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BradTo00,Tom Brady,QB,271.7,374.7,337.9,263.7,280.8,295.9,258.6,344.2,278.1,251.5,340.3,366.3,299,270.3,3,390,219.4,249.3,226.5,215.1,245.6,162.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RodgAa00,Aaron Rodgers,QB,239.2,332.8,382.8,278.4,312.6,129.6,380,301.2,354.1,169.4,344.1,397.4,304.5,343,288.2,15.6,0.9,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JackLa00,Lamar Jackson,QB,236.1,240,332.8,415.7,157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
